driverStandingsId,driverId,points,position,wins
266,20,13.0,12,0
267,1,78.0,1,4
268,2,53.0,5,0
269,3,9.0,14,0
270,4,28.0,7,0
271,5,51.0,6,1
272,6,8.0,15,0
273,7,4.0,17,0
274,8,57.0,4,2
275,9,64.0,3,1
276,15,26.0,8,0
277,17,20.0,10,0
278,14,6.0,16,0
279,18,3.0,18,0
280,12,13.0,12,0
281,21,0.0,19,0
282,22,11.0,13,0
283,19,0.0,22,0
284,11,0.0,21,0
285,13,77.0,2,5
286,10,15.0,11,0
287,16,0.0,20,0
288,20,23.0,9,1
289,1,84.0,1,4
290,2,56.0,5,0
291,3,17.0,12,0
292,4,38.0,7,1
293,5,51.0,6,1
294,6,9.0,15,0
295,7,4.0,17,0
296,8,57.0,4,2
297,9,64.0,3,1
298,15,26.0,9,0
299,17,20.0,11,0
300,14,8.0,16,0
301,18,3.0,18,0
302,12,13.0,13,0
303,21,0.0,19,0
304,22,11.0,14,0
305,19,0.0,22,0
306,11,0.0,21,0
307,13,77.0,2,5
308,10,20.0,10,0
309,16,0.0,20,0
310,20,27.0,8,1
311,1,84.0,1,4
312,2,56.0,5,0
313,3,17.0,13,0
314,4,48.0,7,2
315,5,51.0,6,1
316,6,9.0,15,0
317,7,4.0,17,0
318,8,63.0,4,2
319,9,72.0,3,1
320,15,30.0,9,0
321,17,21.0,10,0
322,14,8.0,16,0
323,18,3.0,18,0
324,12,18.0,12,0
325,21,0.0,19,0
326,22,11.0,14,0
327,19,0.0,22,0
328,11,0.0,21,0
329,13,79.0,2,5
330,10,20.0,11,0
331,16,0.0,20,0
332,20,30.0,8,1
3459,20,30.0,8,1
3458,16,0.0,20,0
3457,10,22.0,10,0
3456,13,87.0,2,5
3455,11,0.0,21,0
3454,19,0.0,22,0
3453,22,11.0,14,0
3452,21,0.0,19,0
3451,12,19.0,12,0
3450,18,3.0,18,0
3449,14,8.0,16,0
3448,17,21.0,11,0
3447,15,30.0,9,0
3446,9,75.0,3,1
3445,8,69.0,4,2
3444,7,4.0,17,0
3443,6,9.0,15,0
3442,5,51.0,7,1
3441,4,53.0,6,2
3440,3,17.0,13,0
3439,2,60.0,5,0
3438,1,94.0,1,5
355,1,98.0,1,5
356,2,60.0,6,0
357,3,17.0,13,0
358,4,61.0,5,2
359,5,53.0,7,1
360,6,9.0,15,0
361,7,4.0,17,0
362,8,75.0,3,2
363,9,75.0,4,1
364,15,31.0,9,0
365,17,21.0,11,0
366,14,8.0,16,0
367,18,3.0,18,0
368,12,19.0,12,0
369,21,0.0,19,0
370,22,11.0,14,0
371,19,0.0,22,0
372,11,0.0,21,0
373,13,97.0,2,6
374,10,25.0,10,0
375,16,0.0,20,0
376,20,35.0,8,1
13629,16,0.0,17,0
13628,19,0.0,16,0
13627,18,0.0,15,0
13626,24,0.0,14,0
13625,17,0.0,13,0
13624,11,0.0,12,0
13623,22,0.0,11,0
13622,5,0.0,10,0
13621,15,0.0,9,0
13620,23,1.0,8,0
13619,3,2.0,7,0
13618,13,3.0,6,0
13617,21,4.0,5,0
13649,9,0.0,20,0
13648,26,0.0,17,0
13647,25,0.0,11,0
13646,16,0.0,19,0
13645,19,0.0,18,0
13644,18,0.0,15,0
13643,24,0.0,16,0
13642,17,0.0,12,0
13641,11,0.0,14,0
13640,22,0.0,13,0
13639,5,1.0,9,0
13638,15,2.0,7,0
13637,23,1.0,10,0
13635,13,7.0,6,0
13670,27,0.0,18,0
13669,9,3.0,8,0
13668,26,0.0,19,0
13667,25,0.0,12,0
13666,16,0.0,20,0
13665,19,0.0,21,0
13664,18,0.0,16,0
13663,24,0.0,17,0
13662,17,0.0,13,0
